,filename,bit_compression,encoded_size,encoding_time,decoding_time,compression_ratio,saving_percentage,correct_compression
0,a_dolls_house,Bits,146810,0.2904980182647705,0.04006361961364746,0.868420741301596,13.157925869840406,True
1,a_dolls_house,String,151293,0.3141601085662842,0.03206586837768555,0.8949388952642351,10.506110473576491,True
2,bible,Bits,3489594,7.44645094871521,1.0270590782165527,0.7523825704637588,24.761742953624125,True
3,bible,String,3848358,8.219927549362183,2.3559410572052,0.8297347726138828,17.02652273861172,True
4,big,Bits,6152799,13.719205379486084,1.4949607849121094,0.9298299275984442,7.0170072401555785,True
5,big,String,6218387,11.264047622680664,1.6432459354400635,0.9397417880852449,6.02582119147551,False
6,frankenstein,Bits,440306,1.2595937252044678,0.13205337524414062,0.9808707197483587,1.9129280251641259,True
7,frankenstein,String,432363,1.1176824569702148,0.1968386173248291,0.9631760798230313,3.682392017696868,True
8,long-doc,Bits,648,0.1195981502532959,0.02509903907775879,0.005679079428235892,99.43209205717642,True
9,long-doc,String,1410,0.09556722640991211,0.012686729431152344,0.012357256163291062,98.7642743836709,True
10,lyric_aroundtheworld,Bits,56,0.007161378860473633,0.0036940574645996094,0.021621621621621623,97.83783783783784,True
11,lyric_aroundtheworld,String,90,0.004540920257568359,0.0014030933380126953,0.03474903474903475,96.52509652509652,True
12,lyric_harderbetterfasterstronger,Bits,279,0.0030655860900878906,0.011467933654785156,0.1595197255574614,84.04802744425386,True
13,lyric_harderbetterfasterstronger,String,352,0.0027070045471191406,0.015235185623168945,0.20125786163522014,79.87421383647799,True
14,lyric_staysoft,Bits,540,0.002949953079223633,0.01615619659423828,0.6561360874848117,34.38639125151883,True
15,lyric_staysoft,String,523,0.001556396484375,0.01652836799621582,0.6354799513973268,36.452004860267316,True
16,moby_dick,Bits,1261113,2.6478283405303955,0.29494261741638184,0.9881325028853861,1.1867497114613883,True
17,moby_dick,String,1229396,2.7709758281707764,0.2926812171936035,0.9632809641303215,3.6719035869678494,True
18,pride_and_prejudice,Bits,739182,1.782909870147705,0.20069217681884766,0.9570061756366602,4.2993824363339765,True
19,pride_and_prejudice,String,733929,1.7216811180114746,0.1737678050994873,0.9502052072139722,4.979479278602779,True
20,sam_i_am,Bits,128,0.0018391609191894531,0.003339529037475586,0.6808510638297872,31.914893617021278,True
21,sam_i_am,String,141,0.001642465591430664,0.0035538673400878906,0.75,25.0,True
